Applid,Date,ResTime,ColTime,TotalAlloc,QueuedAlloc,FailedLinkAlloc,FailedAllocSessUsed
AP15POA1,01/11/2016,06:00:00,08:00:00,10,0,0,0
AP15POA1,01/11/2016,08:00:00,10:00:00,1030,0,0,0
AP15POA1,01/11/2016,10:00:00,12:00:00,2393,0,0,0
AP15POA1,01/11/2016,12:00:00,14:00:00,1629,0,0,0
AP15POA1,01/11/2016,14:00:00,16:00:00,2170,0,0,0
AP15POA1,01/11/2016,16:00:00,18:00:00,1979,0,0,0
AP15POA1,01/11/2016,18:00:00,20:00:00,472,0,0,0
AP15POA1,01/11/2016,20:00:00,22:00:00,98,0,0,0
AP15POA3,01/11/2016,06:00:00,08:00:00,12,0,0,0
AP15POA3,01/11/2016,08:00:00,10:00:00,1049,0,0,0
AP15POA3,01/11/2016,10:00:00,12:00:00,2328,0,0,0
AP15POA3,01/11/2016,12:00:00,14:00:00,1670,0,0,0
AP15POA3,01/11/2016,14:00:00,16:00:00,2010,0,0,0
AP15POA3,01/11/2016,16:00:00,18:00:00,1934,0,0,0
AP15POA3,01/11/2016,18:00:00,20:00:00,483,0,0,0
AP15POA3,01/11/2016,20:00:00,22:00:00,80,0,0,0
AP16POA2,01/11/2016,06:00:00,08:00:00,14,0,0,0
AP16POA2,01/11/2016,08:00:00,10:00:00,1051,0,0,0
AP16POA2,01/11/2016,10:00:00,12:00:00,2371,0,0,0
AP16POA2,01/11/2016,12:00:00,14:00:00,1728,0,0,0
AP16POA2,01/11/2016,14:00:00,16:00:00,2067,0,0,0
AP16POA2,01/11/2016,16:00:00,18:00:00,1953,0,0,0
AP16POA2,01/11/2016,18:00:00,20:00:00,465,0,0,0
AP16POA2,01/11/2016,20:00:00,22:00:00,90,0,0,0
AP16POA4,01/11/2016,06:00:00,08:00:00,8,0,0,0
AP16POA4,01/11/2016,08:00:00,10:00:00,1029,0,0,0
AP16POA4,01/11/2016,10:00:00,12:00:00,2348,0,0,0
AP16POA4,01/11/2016,12:00:00,14:00:00,1566,0,0,0
AP16POA4,01/11/2016,14:00:00,16:00:00,2115,0,0,0
AP16POA4,01/11/2016,16:00:00,18:00:00,1963,0,0,0
AP16POA4,01/11/2016,18:00:00,20:00:00,488,0,0,0
AP16POA4,01/11/2016,20:00:00,22:00:00,88,0,0,0
BP15PAAA,01/11/2016,06:00:00,08:00:00,6937,0,0,0
BP15PAAA,01/11/2016,08:00:00,10:00:00,70150,0,0,0
BP15PAAA,01/11/2016,10:00:00,12:00:00,119355,0,0,0
BP15PAAA,01/11/2016,12:00:00,14:00:00,95410,0,0,0
BP15PAAA,01/11/2016,14:00:00,16:00:00,116138,0,0,0
BP15PAAA,01/11/2016,16:00:00,18:00:00,101850,0,0,0
BP15PAAA,01/11/2016,18:00:00,20:00:00,62497,0,0,0
BP15PAAA,01/11/2016,20:00:00,22:00:00,50115,0,0,0
BP15PAAE,01/11/2016,06:00:00,08:00:00,7037,0,0,0
BP15PAAE,01/11/2016,08:00:00,10:00:00,70266,0,0,0
BP15PAAE,01/11/2016,10:00:00,12:00:00,119706,0,0,0
BP15PAAE,01/11/2016,12:00:00,14:00:00,95209,0,0,0
BP15PAAE,01/11/2016,14:00:00,16:00:00,116145,0,0,0
BP15PAAE,01/11/2016,16:00:00,18:00:00,101467,0,0,0
BP15PAAE,01/11/2016,18:00:00,20:00:00,62330,0,0,0
BP15PAAE,01/11/2016,20:00:00,22:00:00,49274,0,0,0
BP15PAA1,01/11/2016,06:00:00,08:00:00,7028,0,0,0
BP15PAA1,01/11/2016,08:00:00,10:00:00,69935,0,0,0
BP15PAA1,01/11/2016,10:00:00,12:00:00,120038,0,0,0
BP15PAA1,01/11/2016,12:00:00,14:00:00,95362,0,0,0
BP15PAA1,01/11/2016,14:00:00,16:00:00,115930,0,0,0
BP15PAA1,01/11/2016,16:00:00,18:00:00,102024,0,0,0
BP15PAA1,01/11/2016,18:00:00,20:00:00,62215,0,0,0
BP15PAA1,01/11/2016,20:00:00,22:00:00,49684,0,0,0
BP15PAA5,01/11/2016,06:00:00,08:00:00,6843,0,0,0
BP15PAA5,01/11/2016,08:00:00,10:00:00,70308,0,0,0
BP15PAA5,01/11/2016,10:00:00,12:00:00,119655,0,0,0
BP15PAA5,01/11/2016,12:00:00,14:00:00,94921,0,0,0
BP15PAA5,01/11/2016,14:00:00,16:00:00,115661,0,0,0
BP15PAA5,01/11/2016,16:00:00,18:00:00,101692,0,0,0
BP15PAA5,01/11/2016,18:00:00,20:00:00,62708,0,0,0
BP15PAA5,01/11/2016,20:00:00,22:00:00,49313,0,0,0
BP16PAAB,01/11/2016,06:00:00,08:00:00,6950,0,0,0
BP16PAAB,01/11/2016,08:00:00,10:00:00,70109,0,0,0
BP16PAAB,01/11/2016,10:00:00,12:00:00,119301,0,0,0
BP16PAAB,01/11/2016,12:00:00,14:00:00,95306,0,0,0
BP16PAAB,01/11/2016,14:00:00,16:00:00,114865,0,0,0
BP16PAAB,01/11/2016,16:00:00,18:00:00,101672,0,0,0
BP16PAAB,01/11/2016,18:00:00,20:00:00,62646,0,0,0
BP16PAAB,01/11/2016,20:00:00,22:00:00,49346,0,0,0
BP16PAAF,01/11/2016,06:00:00,08:00:00,7063,0,0,0
BP16PAAF,01/11/2016,08:00:00,10:00:00,69783,0,0,0
BP16PAAF,01/11/2016,10:00:00,12:00:00,120233,0,0,0
BP16PAAF,01/11/2016,12:00:00,14:00:00,94556,0,0,0
BP16PAAF,01/11/2016,14:00:00,16:00:00,115125,0,0,0
BP16PAAF,01/11/2016,16:00:00,18:00:00,102010,0,0,0
BP16PAAF,01/11/2016,18:00:00,20:00:00,62279,0,0,0
BP16PAAF,01/11/2016,20:00:00,22:00:00,50052,0,0,0
BP16PAA2,01/11/2016,06:00:00,08:00:00,6946,0,0,0
BP16PAA2,01/11/2016,08:00:00,10:00:00,70218,0,0,0
BP16PAA2,01/11/2016,10:00:00,12:00:00,119826,0,0,0
BP16PAA2,01/11/2016,12:00:00,14:00:00,94640,0,0,0
BP16PAA2,01/11/2016,14:00:00,16:00:00,114836,0,0,0
BP16PAA2,01/11/2016,16:00:00,18:00:00,102563,0,0,0
BP16PAA2,01/11/2016,18:00:00,20:00:00,62325,0,0,0
BP16PAA2,01/11/2016,20:00:00,22:00:00,49605,0,0,0
BP16PAA6,01/11/2016,06:00:00,08:00:00,6861,0,0,0
BP16PAA6,01/11/2016,08:00:00,10:00:00,70103,0,0,0
BP16PAA6,01/11/2016,10:00:00,12:00:00,119256,0,0,0
BP16PAA6,01/11/2016,12:00:00,14:00:00,94882,0,0,0
BP16PAA6,01/11/2016,14:00:00,16:00:00,114738,0,0,0
BP16PAA6,01/11/2016,16:00:00,18:00:00,100926,0,0,0
BP16PAA6,01/11/2016,18:00:00,20:00:00,62513,0,0,0
BP16PAA6,01/11/2016,20:00:00,22:00:00,49494,0,0,0
BP17PAAC,01/11/2016,06:00:00,08:00:00,6804,0,0,0
BP17PAAC,01/11/2016,08:00:00,10:00:00,70206,0,0,0
BP17PAAC,01/11/2016,10:00:00,12:00:00,119496,0,0,0
BP17PAAC,01/11/2016,12:00:00,14:00:00,94922,0,0,0
BP17PAAC,01/11/2016,14:00:00,16:00:00,114073,0,0,0
BP17PAAC,01/11/2016,16:00:00,18:00:00,101658,0,0,0
BP17PAAC,01/11/2016,18:00:00,20:00:00,61967,0,0,0
BP17PAAC,01/11/2016,20:00:00,22:00:00,49765,0,0,0
BP17PAAG,01/11/2016,06:00:00,08:00:00,7172,0,0,0
BP17PAAG,01/11/2016,08:00:00,10:00:00,69849,0,0,0
BP17PAAG,01/11/2016,10:00:00,12:00:00,119373,0,0,0
BP17PAAG,01/11/2016,12:00:00,14:00:00,94423,0,0,0
BP17PAAG,01/11/2016,14:00:00,16:00:00,113994,0,0,0
BP17PAAG,01/11/2016,16:00:00,18:00:00,102313,0,0,0
BP17PAAG,01/11/2016,18:00:00,20:00:00,62920,0,0,0
BP17PAAG,01/11/2016,20:00:00,22:00:00,49551,0,0,0
BP17PAA3,01/11/2016,06:00:00,08:00:00,7005,0,0,0
BP17PAA3,01/11/2016,08:00:00,10:00:00,70069,0,0,0
BP17PAA3,01/11/2016,10:00:00,12:00:00,119528,0,0,0
BP17PAA3,01/11/2016,12:00:00,14:00:00,93716,0,0,0
BP17PAA3,01/11/2016,14:00:00,16:00:00,113933,0,0,0
BP17PAA3,01/11/2016,16:00:00,18:00:00,101723,0,0,0
BP17PAA3,01/11/2016,18:00:00,20:00:00,62292,0,0,0
BP17PAA3,01/11/2016,20:00:00,22:00:00,49523,0,0,0
BP17PAA7,01/11/2016,06:00:00,08:00:00,6820,0,0,0
BP17PAA7,01/11/2016,08:00:00,10:00:00,70482,0,0,0
BP17PAA7,01/11/2016,10:00:00,12:00:00,119971,0,0,0
BP17PAA7,01/11/2016,12:00:00,14:00:00,94066,0,0,0
BP17PAA7,01/11/2016,14:00:00,16:00:00,113638,0,0,0
BP17PAA7,01/11/2016,16:00:00,18:00:00,101607,0,0,0
BP17PAA7,01/11/2016,18:00:00,20:00:00,62500,0,0,0
BP17PAA7,01/11/2016,20:00:00,22:00:00,49435,0,0,0
BP18PAAD,01/11/2016,06:00:00,08:00:00,7099,0,0,0
BP18PAAD,01/11/2016,08:00:00,10:00:00,70241,0,0,0
BP18PAAD,01/11/2016,10:00:00,12:00:00,119424,0,0,0
BP18PAAD,01/11/2016,12:00:00,14:00:00,94634,0,0,0
BP18PAAD,01/11/2016,14:00:00,16:00:00,113598,0,0,0
BP18PAAD,01/11/2016,16:00:00,18:00:00,102213,0,0,0
BP18PAAD,01/11/2016,18:00:00,20:00:00,62580,0,0,0
BP18PAAD,01/11/2016,20:00:00,22:00:00,49352,0,0,0
BP18PAAH,01/11/2016,06:00:00,08:00:00,6899,0,0,0
BP18PAAH,01/11/2016,08:00:00,10:00:00,70041,0,0,0
BP18PAAH,01/11/2016,10:00:00,12:00:00,119792,0,0,0
BP18PAAH,01/11/2016,12:00:00,14:00:00,94068,0,0,0
BP18PAAH,01/11/2016,14:00:00,16:00:00,114509,0,0,0
BP18PAAH,01/11/2016,16:00:00,18:00:00,101451,0,0,0
BP18PAAH,01/11/2016,18:00:00,20:00:00,62233,0,0,0
BP18PAAH,01/11/2016,20:00:00,22:00:00,49322,0,0,0
BP18PAA4,01/11/2016,06:00:00,08:00:00,7013,0,0,0
BP18PAA4,01/11/2016,08:00:00,10:00:00,70139,0,0,0
BP18PAA4,01/11/2016,10:00:00,12:00:00,119543,0,0,0
BP18PAA4,01/11/2016,12:00:00,14:00:00,93861,0,0,0
BP18PAA4,01/11/2016,14:00:00,16:00:00,113512,0,0,0
BP18PAA4,01/11/2016,16:00:00,18:00:00,102012,0,0,0
BP18PAA4,01/11/2016,18:00:00,20:00:00,62360,0,0,0
BP18PAA4,01/11/2016,20:00:00,22:00:00,49719,0,0,0
BP18PAA8,01/11/2016,06:00:00,08:00:00,6842,0,0,0
BP18PAA8,01/11/2016,08:00:00,10:00:00,69975,0,0,0
BP18PAA8,01/11/2016,10:00:00,12:00:00,119556,0,0,0
BP18PAA8,01/11/2016,12:00:00,14:00:00,94034,0,0,0
BP18PAA8,01/11/2016,14:00:00,16:00:00,113792,0,0,0
BP18PAA8,01/11/2016,16:00:00,18:00:00,101888,0,0,0
BP18PAA8,01/11/2016,18:00:00,20:00:00,62328,0,0,0
BP18PAA8,01/11/2016,20:00:00,22:00:00,49767,0,0,0
